cohort,year,event_time,att,n_treated,n_control
2016,2013,-3,-0.10330426674603187,33,1468
2016,2014,-2,-0.16046361014414062,33,1468
2016,2016,0,-0.16110796422587534,33,1468
2016,2017,1,-0.10253181603248283,33,1429
2016,2018,2,-0.1109834421184609,33,1384
2016,2019,3,-0.11041078124173813,33,1341
2016,2020,4,-0.030361504895226005,33,1314
2016,2021,5,-0.0149247674535233,33,1277
2016,2022,6,-0.051552628198753614,33,1234
2016,2023,7,-0.11144122164398101,33,1181
2016,2024,8,-0.06291361977134215,33,1138
2017,2013,-4,0.05203647188927145,49,1686
2017,2014,-3,0.07789712382269615,49,1686
2017,2015,-2,0.005000018449038435,49,1686
2017,2017,0,0.1055572131840734,49,1686
2017,2018,1,0.11545042115744686,49,1638
2017,2019,2,0.1060360648009286,49,1603
2017,2020,3,0.12681080860088095,49,1571
2017,2021,4,0.053437270134136405,49,1526
2017,2022,5,0.03331206503029129,49,1476
2017,2023,6,-0.024448662783091414,49,1409
2017,2024,7,0.006930403561395397,49,1345
2018,2013,-5,-0.016570662782967385,56,1693
2018,2014,-4,-0.0345254762808949,56,1693
2018,2015,-3,-0.05060118637800893,56,1693
2018,2016,-2,0.017138220280283244,56,1693
2018,2018,0,-0.042876969408720336,56,1693
2018,2019,1,-0.021680149189480146,56,1647
2018,2020,2,-0.007633508444891171,56,1607
2018,2021,3,-0.02458686934829102,56,1564
2018,2022,4,-0.019381617800587534,56,1515
2018,2023,5,-0.051134075885278886,56,1456
2018,2024,6,-0.01892445707123365,56,1389
2019,2013,-6,0.010553703422835424,46,1255
2019,2014,-5,-0.0019657993782857004,46,1255
2019,2015,-4,0.02741577576956969,46,1255
2019,2016,-3,-0.033693747128502705,46,1255
2019,2017,-2,0.011556102491528211,46,1255
2019,2019,0,-0.05210175710916628,46,1255
2019,2020,1,-0.03117381140289546,46,1223
2019,2021,2,-0.0547893474302744,46,1191
2019,2022,3,-0.04027362081088973,46,1153
2019,2023,4,-0.010920859897250671,46,1104
2019,2024,5,0.019089144412836163,46,1061
2020,2013,-7,-0.10573147339784146,40,1508
2020,2014,-6,-0.022725101891770644,40,1508
2020,2015,-5,-0.08823223380587064,40,1508
2020,2016,-4,0.0035070402330614897,40,1508
2020,2017,-3,-0.08341393340953251,40,1508
2020,2018,-2,-0.03688612298524759,40,1508
2020,2020,0,-0.0666797096740243,40,1508
2020,2021,1,-0.0004589156116347401,40,1469
2020,2022,2,-0.05742778696245313,40,1424
2020,2023,3,-0.03550076075316532,40,1367
2020,2024,4,-0.05096873005673058,40,1302
2021,2013,-8,-0.004364442919345268,50,1446
2021,2014,-7,-0.049792728763556365,50,1446
2021,2015,-6,-0.04406710662403431,50,1446
2021,2016,-5,0.007499088033604401,50,1446
2021,2017,-4,0.02978868402843414,50,1446
2021,2018,-3,0.01605709266446364,50,1446
2021,2019,-2,-0.006761554920790823,50,1446
2021,2021,0,0.0015754637077509957,50,1446
2021,2022,1,0.06557212878326456,50,1396
2021,2023,2,0.021607691592854795,50,1331
2021,2024,3,0.008294149211344814,50,1266
2022,2013,-9,-0.04491523610980814,54,1572
2022,2014,-8,-0.045830978951130544,54,1572
2022,2015,-7,-0.019034471695185677,54,1572
2022,2016,-6,-0.01344029896505531,54,1572
2022,2017,-5,-0.05812860147635926,54,1572
2022,2018,-4,-0.05100509017295776,54,1572
2022,2019,-3,-0.019511463550466377,54,1572
2022,2020,-2,0.012053531795011162,54,1572
2022,2022,0,-0.03785363755376688,54,1572
2022,2023,1,-0.03526541277297639,54,1505
2022,2024,2,-0.04332750393315696,54,1436
2023,2013,-10,-0.027969238123950833,70,1567
2023,2014,-9,-0.02755078747539211,70,1567
2023,2015,-8,-0.02407619989623863,70,1567
2023,2016,-7,-0.029891394097339534,70,1567
2023,2017,-6,0.0051755226359678705,70,1567
2023,2018,-5,-0.04167799231452632,70,1567
2023,2019,-4,-0.038144810837364575,70,1567
2023,2020,-3,0.0046745959594696775,70,1567
2023,2021,-2,-0.014975115489361285,70,1567
2023,2023,0,-0.020365144960293725,70,1567
2023,2024,1,-0.007895673347171039,70,1497
2024,2013,-11,0.015443765323326171,74,1358
2024,2014,-10,-0.02570449100811138,74,1358
2024,2015,-9,0.011074081789599446,74,1358
2024,2016,-8,-0.021395370868500893,74,1358
2024,2017,-7,0.005362407656044387,74,1358
2024,2018,-6,-0.031729386958899,74,1358
2024,2019,-5,-0.047625265211230894,74,1358
2024,2020,-4,-0.018363932358077668,74,1358
2024,2021,-3,-0.00967181266442373,74,1358
2024,2022,-2,-0.012387147578809009,74,1358
2024,2024,0,-0.05005158972485815,74,1358
