corridor_id,length_ft,income,share_poc,poverty_rate,borough,treatment_cohort,first_protected_year,cyclist_injured,n_segments,is_protected,length_mi,income_q,poc_q
1 AV TUNNEL|1|2024|0,1859.070950318635,142040.80836912253,0.3817781589470739,0.0917549403745472,Manhattan,switcher,2024,0.0,15,True,0.35209677089368085,Q5 highest,Q2
1 AVE|1|2016|0,825.648944433027,178802.11323092922,0.16563797292927504,0.05399345212776992,Manhattan,switcher,2016,36.0,3,True,0.15637290614261876,Q5 highest,Q1 least POC
1 AV|1|-1|0,29.880372792580083,161548.0,0.4915254237288136,0.16629357211384713,Manhattan,never_treated,,0.0,1,False,0.005659161513746228,Q5 highest,Q2
1 AV|1|-1|1,328.4136906924697,29809.225241084783,0.9182447452216946,0.3817494112524912,Manhattan,never_treated,,4.0,2,False,0.06219956263114956,Q1 lowest,Q4
1 AV|1|-1|10,218.65314083811296,149063.0,0.31956240103641864,0.07773139484669642,Manhattan,never_treated,,0.0,1,False,0.04141157970418806,Q5 highest,Q1 least POC
1 AV|1|-1|11,54.181547602801594,134167.0,0.2571339466708249,0.053158022102121484,Manhattan,never_treated,,0.0,1,False,0.010261656742954848,Q4,Q1 least POC
1 AV|1|-1|12,88.53377837933283,148175.23973542335,0.21509199352478875,0.04756235589550479,Manhattan,never_treated,,0.0,1,False,0.016767761056691824,Q5 highest,Q1 least POC
1 AV|1|-1|13,121.33103141726706,140883.0,0.1900412751383156,0.10088028169014085,Manhattan,never_treated,,0.0,1,False,0.022979362010846032,Q4,Q1 least POC
1 AV|1|-1|2,275.52266268274764,118201.00000000001,0.31744975376014906,0.15838423098278734,Manhattan,never_treated,,1.0,2,False,0.052182322477793114,Q4,Q1 least POC
1 AV|1|-1|3,109.25265465974778,118200.99999999999,0.31744975376014906,0.1583842309827873,Manhattan,never_treated,,0.0,3,False,0.02069179065525526,Q4,Q1 least POC
1 AV|1|-1|4,401.4744596057419,181836.3818809688,0.3076641865572025,0.058626601006906226,Manhattan,never_treated,,29.0,7,False,0.07603682947078445,Q5 highest,Q1 least POC
1 AV|1|-1|5,348.15943988363483,117442.0,0.4104925911093313,0.06487785342410893,Manhattan,never_treated,,3.0,3,False,0.06593928785674902,Q4,Q2
1 AV|1|-1|6,161.76195662726684,26320.999999999996,0.8588235294117647,0.38751793400286944,Manhattan,never_treated,,0.0,3,False,0.03063673420970963,Q1 lowest,Q4
1 AV|1|-1|7,99.33653435001644,124571.00000000001,0.5150050864699898,0.21223296032553407,Manhattan,never_treated,,0.0,2,False,0.01881373756629099,Q4,Q2
1 AV|1|-1|8,87.14104412879558,124571.0,0.5150050864699897,0.21223296032553407,Manhattan,never_treated,,0.0,2,False,0.01650398563045371,Q4,Q2
1 AV|1|-1|9,132.16636628569526,68381.99999999999,0.5153494448073154,0.2766165904637492,Manhattan,never_treated,,1.0,2,False,0.025031508766230164,Q2,Q2
1 AV|1|2003|0,311.2796243022154,157853.29375375918,0.502224896629735,0.12584380745232504,Manhattan,always_treated,2003,0.0,5,True,0.058954474299662,Q5 highest,Q2
1 AV|1|2010|0,5027.873376499402,115082.41331695272,0.34206665697998195,0.16987415653181426,Manhattan,always_treated,2010,156.0,29,True,0.9522487455491292,Q4,Q1 least POC
1 AV|1|2010|1,2756.554781665586,117716.98600329799,0.4504674178659579,0.16144649238892572,Manhattan,always_treated,2010,48.0,10,True,0.5220747692548457,Q4,Q2
1 AV|1|2010|2,259.20930878357825,118201.0,0.31744975376014906,0.15838423098278734,Manhattan,always_treated,2010,0.0,1,True,0.04909267211810194,Q4,Q1 least POC
1 AV|1|2010|3,285.2154479954937,97032.48696214567,0.6270496864919824,0.2498439641498844,Manhattan,always_treated,2010,18.0,1,True,0.05401807727187381,Q3,Q3
1 AV|1|2011|0,1282.0786412200962,130179.05862936944,0.3738655659634347,0.07005530861826867,Manhattan,always_treated,2011,7.0,4,True,0.24281792447350306,Q4,Q2
1 AV|1|2011|1,865.0190768610428,157109.7343926144,0.5043781647665158,0.11770329528013819,Manhattan,always_treated,2011,11.0,3,True,0.16382937061762173,Q5 highest,Q2
1 AV|1|2011|2,1586.0607861712697,144688.0912989485,0.4693551824558532,0.11143694164411037,Manhattan,always_treated,2011,5.0,4,True,0.30039030041122533,Q5 highest,Q2
1 AV|1|2012|0,3700.6454378842086,133235.88905373352,0.265300613795033,0.06925652248859665,Manhattan,always_treated,2012,72.0,11,True,0.7008798177811001,Q4,Q1 least POC
1 AV|1|2013|0,3353.69787621076,133900.87529006365,0.32567900314591197,0.11037250035277553,Manhattan,switcher,2013,25.0,14,True,0.635170052312644,Q4,Q1 least POC
1 AV|1|2013|1,5917.415146183744,33877.79304508806,0.8701102972478613,0.3429234826370228,Manhattan,switcher,2013,78.0,34,True,1.120722565565103,Q1 lowest,Q4
1 AV|1|2013|2,624.0001934250193,173324.90439245847,0.3823628535644282,0.04017588486212178,Manhattan,switcher,2013,4.0,10,True,0.11818185481534457,Q5 highest,Q2
1 AV|1|2013|3,2144.721526988475,34456.108613661905,0.8871565842534933,0.37006221867468386,Manhattan,switcher,2013,33.0,21,True,0.4061972588993324,Q1 lowest,Q4
1 AV|1|2013|4,436.02362056099975,126528.47425966038,0.500170603348779,0.19041686870237595,Manhattan,switcher,2013,0.0,4,True,0.08258023116685602,Q4,Q2
1 AV|1|2013|5,1043.4683117443992,129582.5341514207,0.25935105692425225,0.12062462360626082,Manhattan,switcher,2013,17.0,4,True,0.197626574194015,Q4,Q1 least POC
1 AV|1|2013|6,1484.5116085367758,130465.32675258502,0.17539520833885164,0.06206867058619475,Manhattan,switcher,2013,18.0,5,True,0.28115750161681363,Q4,Q1 least POC
1 AV|1|2015|0,1690.4974113595329,152260.0772245717,0.3071815272489281,0.07991581060244084,Manhattan,switcher,2015,23.0,6,True,0.3201699642726388,Q5 highest,Q1 least POC
1 AV|1|2016|0,323.9206694263049,16911.000000000004,0.9490592014685637,0.48612757884752195,Manhattan,switcher,2016,19.0,3,True,0.061348611633769874,Q1 lowest,Q5 most POC
1 AV|1|2016|1,262.21655233049637,224898.0,0.13603040999185445,0.02307901167526473,Manhattan,switcher,2016,0.0,1,True,0.04966222582016977,Q5 highest,Q1 least POC
1 AV|1|2017|0,251.50679310235836,149062.99999999997,0.3195624010364187,0.07773139484669642,Manhattan,switcher,2017,5.0,3,True,0.047633862329992116,Q5 highest,Q1 least POC
1 AV|1|2024|0,77.12811130011875,215981.0,0.3055613850996852,0.031269674711437566,Manhattan,switcher,2024,0.0,1,True,0.014607596837143702,Q5 highest,Q1 least POC
1 AV|1|2024|1,271.8389726465937,117442.00000000001,0.41049259110933123,0.06487785342410893,Manhattan,switcher,2024,0.0,2,True,0.05148465391033971,Q4,Q2
1 AV|1|2024|2,309.6055059743409,149063.0,0.31956240103641864,0.07773139484669642,Manhattan,switcher,2024,5.0,2,True,0.05863740643453426,Q5 highest,Q1 least POC
1 ST|4|-1|0,1079.4776833451003,16639.0,0.8783655369021223,0.4407158836689038,Queens,never_treated,,0.0,8,False,0.20444653093657203,Q1 lowest,Q4
10 AVENUE|1|2024|0,9243.62299149492,134032.96705505668,0.46291666525675423,0.0955863463107989,Manhattan,switcher,2024,128.0,46,True,1.7506861726316136,Q4,Q2
10 AVENUE|1|2024|1,1113.1855396319752,168669.7681282538,0.3658119729022342,0.09635139153902338,Manhattan,switcher,2024,11.0,8,True,0.21083059462726803,Q5 highest,Q1 least POC
