event_time,att,n_cohorts,n_treated,se,ci_lo,ci_hi
-5,-0.035265108731213454,7.0,390.0,0.017742098936578587,-0.07215997138977072,-0.003444363826153644
-4,-0.007462735023836964,8.0,439.0,0.0159662770265439,-0.03824105502060115,0.02327208110861305
-3,-0.016846344693377854,9.0,472.0,0.01598771670867417,-0.049646821501381604,0.01277767480564765
-2,-0.014166347741638975,9.0,472.0,0.01299181303307954,-0.03966669327700485,0.010001947969751106
0,-0.03115241505017198,9.0,472.0,0.015886855842894156,-0.06124854180856877,-0.0003390716581312077
1,0.0010770286913417682,8.0,398.0,0.020587393917820166,-0.03895674938393011,0.04120410831862543
2,-0.015155137136024685,7.0,328.0,0.023715450036816813,-0.06239723872276665,0.02918054244847369
3,-0.006075183831747403,6.0,274.0,0.026579776895697148,-0.05973650995281315,0.04551962084000794
4,-0.0089731374077921,5.0,224.0,0.029047092241341756,-0.06829824778255696,0.04784698113530796
5,-0.0045958355764519,4.0,184.0,0.02585284551647222,-0.05548886092508144,0.04642055045950982
