panel_year,injuries,deaths,ridership,corridors_treated,injuries_per_ridership
2013,1702.0,3.0,,14,
2014,1679.0,3.0,100.0,9,1679.0
2015,1780.0,6.0,107.05564958079941,24,1662.69
2016,1871.0,5.0,110.12087526518337,33,1699.04
2017,2033.0,12.0,109.79123039045045,49,1851.7
2018,1989.0,4.0,101.59862163239713,56,1957.7
2019,2169.0,10.0,101.5233903134052,46,2136.45
2020,2302.0,9.0,124.0690486048337,40,1855.42
2021,2123.0,6.0,124.21779069802466,50,1709.09
2022,2161.0,5.0,121.6630599958221,54,1776.22
2023,2304.0,13.0,129.02395686619366,70,1785.71
2024,2245.0,12.0,144.45428478624402,74,1554.12
