corridor_id,panel_year,boro_code,n_segments,is_treated,treatment_cohort,first_protected_year,cyclist_injured,cyclist_killed,ridership_index,borough
31 AVE|4|-1|0,2021,4,85,False,never_treated,,9.0,0.0,124.21779069802466,Queens
155 AV|4|-1|0,2024,4,1,False,never_treated,,0.0,0.0,144.45428478624402,Queens
ST NICHOLAS AV|1|-1|1,2024,1,14,False,never_treated,,2.0,0.0,144.45428478624402,Manhattan
CENTRAL PARK W|1|2020|0,2024,1,39,True,switcher,2020,6.0,0.0,144.45428478624402,Manhattan
BRONXWOOD AV|2|-1|0,2023,2,44,False,never_treated,,3.0,0.0,129.02395686619366,Bronx
MONTAGUE ST|3|-1|0,2022,3,5,False,never_treated,,0.0,0.0,121.6630599958221,Brooklyn
FT GEORGE HILL|1|2015|0,2019,1,5,True,switcher,2015,0.0,0.0,101.5233903134052,Manhattan
CROTONA AV|2|-1|0,2017,2,31,False,never_treated,,2.0,0.0,109.79123039045045,Bronx
FRANKFORT ST|1|-1|0,2016,1,7,False,never_treated,,0.0,0.0,110.12087526518337,Manhattan
SHERMAN AV|1|-1|0,2015,1,11,False,never_treated,,2.0,0.0,107.05564958079941,Manhattan
160 STREET|4|-1|0,2015,4,44,False,never_treated,,0.0,0.0,107.05564958079941,Queens
PITKIN AVENUE|3|-1|0,2015,3,17,False,never_treated,,6.0,0.0,107.05564958079941,Brooklyn
11 ST|4|-1|1,2014,4,6,False,never_treated,,1.0,0.0,100.0,Queens
SEAGIRT BOULEVARD|4|-1|0,2014,4,1,False,never_treated,,0.0,0.0,100.0,Queens
PARK AV|2|2023|0,2014,2,20,False,switcher,2023,0.0,0.0,100.0,Bronx
8 AV|1|2012|0,2024,1,13,True,always_treated,2012,5.0,0.0,144.45428478624402,Manhattan
PEARL STREET|1|-1|0,2024,1,13,False,never_treated,,1.0,0.0,144.45428478624402,Manhattan
EMMONS AV|3|2022|0,2022,3,36,True,switcher,2022,0.0,0.0,121.6630599958221,Brooklyn
E 76 ST|3|-1|0,2021,3,2,False,never_treated,,0.0,0.0,124.21779069802466,Brooklyn
PARSONS BLVD|4|-1|0,2020,4,105,False,never_treated,,3.0,0.0,124.0690486048337,Queens
QUEENS BLVD|4|2017|1,2019,4,44,True,switcher,2017,1.0,0.0,101.5233903134052,Queens
WILLOUGHBY AV|3|-1|0,2018,3,17,False,never_treated,,3.0,0.0,101.59862163239713,Brooklyn
60 AV|4|-1|0,2017,4,12,False,never_treated,,1.0,0.0,109.79123039045045,Queens
1 AV|1|-1|8,2017,1,2,False,never_treated,,0.0,0.0,109.79123039045045,Manhattan
98 ST|4|-1|0,2016,4,13,False,never_treated,,1.0,0.0,110.12087526518337,Queens
63 RD|4|2023|0,2016,4,6,False,switcher,2023,1.0,0.0,110.12087526518337,Queens
SHORE FRONT PKWY|4|2017|0,2016,4,41,False,switcher,2017,0.0,0.0,110.12087526518337,Queens
BARNETT AV|4|-1|0,2016,4,4,False,never_treated,,0.0,0.0,110.12087526518337,Queens
EAST DR|1|1979|0,2015,1,56,True,always_treated,1979,0.0,0.0,107.05564958079941,Manhattan
WOODWARD AVE|4|-1|0,2014,4,29,False,never_treated,,0.0,0.0,100.0,Queens
ALLERTON AV|2|-1|0,2024,2,42,False,never_treated,,1.0,0.0,144.45428478624402,Bronx
73 AV|4|-1|0,2023,4,79,False,never_treated,,3.0,0.0,129.02395686619366,Queens
NEPTUNE AV|3|-1|0,2022,3,87,False,never_treated,,16.0,0.0,121.6630599958221,Brooklyn
E L GRANT HWY|2|2020|0,2021,2,26,True,switcher,2020,0.0,0.0,124.21779069802466,Bronx
AVE OF THE AMERICAS|1|2016|0,2021,1,21,True,switcher,2016,3.0,0.0,124.21779069802466,Manhattan
KENT AV|3|2020|1,2019,3,1,False,switcher,2020,0.0,0.0,101.5233903134052,Brooklyn
EDSON AVE|2|-1|0,2019,2,2,False,never_treated,,0.0,0.0,101.5233903134052,Bronx
ASTORIA PARK GREENWAY|4|2016|0,2019,4,9,True,switcher,2016,0.0,0.0,101.5233903134052,Queens
FRANKLIN AVENUE|3|-1|0,2019,3,10,False,never_treated,,3.0,0.0,101.5233903134052,Brooklyn
SEAGIRT BOULEVARD|4|2022|0,2017,4,14,False,switcher,2022,0.0,0.0,109.79123039045045,Queens
CRESCENT ST|4|2020|0,2016,4,31,False,switcher,2020,2.0,0.0,110.12087526518337,Queens
PARK AVENUE|2|2025|0,2016,2,16,False,treated_after_window,2025,0.0,0.0,110.12087526518337,Bronx
SANDS ST|3|-1|0,2014,3,8,False,never_treated,,0.0,0.0,100.0,Brooklyn
164 ST|4|-1|0,2023,4,90,False,never_treated,,3.0,0.0,129.02395686619366,Queens
KISSENA BOULEVARD|4|-1|0,2013,4,22,False,never_treated,,3.0,0.0,,Queens
AMSTERDAM AVENUE|1|-1|1,2013,1,4,False,never_treated,,1.0,0.0,,Manhattan
LAFAYETTE AV|2|-1|0,2013,2,14,False,never_treated,,0.0,0.0,,Bronx
THROOP AV|3|-1|0,2013,3,41,False,never_treated,,15.0,0.0,,Brooklyn
EAST 182 STREET|2|-1|0,2013,2,2,False,never_treated,,0.0,0.0,,Bronx
34 AV|4|-1|3,2016,4,9,False,never_treated,,2.0,0.0,110.12087526518337,Queens
CLARENDON RD|3|-1|0,2024,3,42,False,never_treated,,8.0,0.0,144.45428478624402,Brooklyn
COOPER AV|4|-1|1,2023,4,7,False,never_treated,,1.0,0.0,129.02395686619366,Queens
DUMONT AV|3|-1|0,2020,3,32,False,never_treated,,2.0,0.0,124.0690486048337,Brooklyn
GLEASON AVENUE|2|-1|0,2019,2,15,False,never_treated,,1.0,0.0,101.5233903134052,Bronx
SHORE PKWY|3|-1|0,2017,3,17,False,never_treated,,0.0,0.0,109.79123039045045,Brooklyn
E 174 ST|2|-1|0,2016,2,40,False,never_treated,,3.0,0.0,110.12087526518337,Bronx
9 AV|1|2012|0,2016,1,33,True,always_treated,2012,13.0,0.0,110.12087526518337,Manhattan
SEDGWICK AVE|2|-1|0,2015,2,7,False,never_treated,,0.0,0.0,107.05564958079941,Bronx
SIGNS ROAD|5|-1|0,2015,5,8,False,never_treated,,0.0,0.0,107.05564958079941,Staten Island
CENTRAL PARK W|1|2019|0,2014,1,16,False,switcher,2019,6.0,0.0,100.0,Manhattan
34 AV|4|2022|0,2014,4,13,False,switcher,2022,1.0,0.0,100.0,Queens
BAY RIDGE PKWY|3|-1|0,2024,3,22,False,never_treated,,2.0,0.0,144.45428478624402,Brooklyn
QUEENS BLVD|4|-1|1,2024,4,5,False,never_treated,,0.0,0.0,144.45428478624402,Queens
SHORE PARKWAY|3|2015|0,2022,3,12,True,switcher,2015,0.0,0.0,121.6630599958221,Brooklyn
MANHATTAN BR|3|2004|0,2018,3,18,True,always_treated,2004,0.0,0.0,101.59862163239713,Brooklyn
QUEENS BL|4|2023|1,2018,4,2,False,switcher,2023,0.0,0.0,101.59862163239713,Queens
SCHERMERHORN STREET|3|-1|0,2015,3,1,False,never_treated,,0.0,0.0,107.05564958079941,Brooklyn
MOTHER GASTON BLVD|3|-1|0,2015,3,4,False,never_treated,,0.0,0.0,107.05564958079941,Brooklyn
4 AVENUE|3|2018|0,2024,3,4,True,switcher,2018,0.0,0.0,144.45428478624402,Brooklyn
THIRD AV|2|-1|0,2024,2,51,False,never_treated,,8.0,0.0,144.45428478624402,Bronx
34 AV|4|-1|1,2022,4,22,False,never_treated,,0.0,0.0,121.6630599958221,Queens
BROADWAY|2|-1|0,2019,2,13,False,never_treated,,1.0,0.0,101.5233903134052,Bronx
34 AV|4|-1|1,2018,4,22,False,never_treated,,5.0,0.0,101.59862163239713,Queens
9 AV|1|2008|1,2016,1,3,True,always_treated,2008,0.0,0.0,110.12087526518337,Manhattan
36 ST|4|-1|0,2022,4,14,False,never_treated,,1.0,0.0,121.6630599958221,Queens
SOUTHERN BLVD|2|-1|1,2021,2,22,False,never_treated,,3.0,0.0,124.21779069802466,Bronx
W 127 ST|1|-1|0,2019,1,17,False,never_treated,,1.0,0.0,101.5233903134052,Manhattan
EAST 172 STREET|2|-1|0,2018,2,7,False,never_treated,,0.0,0.0,101.59862163239713,Bronx
UNIVERSITY AV|2|2020|0,2017,2,20,False,switcher,2020,2.0,0.0,109.79123039045045,Bronx
FELTON STREET|5|-1|0,2017,5,5,False,never_treated,,0.0,0.0,109.79123039045045,Staten Island
AMSTERDAM AV|1|2016|0,2016,1,51,True,switcher,2016,10.0,0.0,110.12087526518337,Manhattan
WYTHE AV|3|-1|0,2015,3,54,False,never_treated,,8.0,0.0,107.05564958079941,Brooklyn
84 ST|3|-1|0,2014,3,8,False,never_treated,,0.0,0.0,100.0,Brooklyn
41 AV|4|-1|5,2023,4,1,False,never_treated,,0.0,0.0,129.02395686619366,Queens
ROCKAWAY BEACH BLVD|4|-1|0,2013,4,89,False,never_treated,,4.0,0.0,,Queens
SHORE PKWY|3|2019|0,2013,3,15,False,switcher,2019,0.0,0.0,,Brooklyn
NEPTUNE AV|3|-1|0,2018,3,87,False,never_treated,,13.0,0.0,101.59862163239713,Brooklyn
MAIN ST|4|-1|0,2023,4,19,False,never_treated,,0.0,0.0,129.02395686619366,Queens
MAIN ST|4|-1|2,2022,4,20,False,never_treated,,0.0,0.0,121.6630599958221,Queens
E NEW YORK AV|3|-1|1,2022,3,33,False,never_treated,,3.0,0.0,121.6630599958221,Brooklyn
QUEENS BOULEVARD|4|2021|1,2021,4,39,True,switcher,2021,3.0,0.0,124.21779069802466,Queens
VAN WYCK EXWY EXIT NB|4|2012|0,2021,4,6,True,always_treated,2012,0.0,0.0,124.21779069802466,Queens
33 AVENUE|4|-1|3,2020,4,4,False,never_treated,,0.0,0.0,124.0690486048337,Queens
AMSTERDAM AVENUE|1|-1|0,2017,1,41,False,never_treated,,3.0,0.0,109.79123039045045,Manhattan
ONDERDONK AVENUE|4|-1|0,2016,4,26,False,never_treated,,0.0,0.0,110.12087526518337,Queens
10 AV|3|-1|0,2015,3,26,False,never_treated,,4.0,0.0,107.05564958079941,Brooklyn
BROOKLYN BR|1|1966|0,2024,1,34,True,always_treated,1966,0.0,0.0,144.45428478624402,Manhattan
ST MARKS AVENUE|3|-1|0,2024,3,16,False,never_treated,,0.0,0.0,144.45428478624402,Brooklyn
FOUNTAIN AV|3|-1|4,2024,3,1,False,never_treated,,0.0,0.0,144.45428478624402,Brooklyn
81 ST|4|-1|0,2023,4,14,False,never_treated,,0.0,0.0,129.02395686619366,Queens
ROGERS PL|2|-1|0,2022,2,4,False,never_treated,,0.0,0.0,121.6630599958221,Bronx
WEST 16 STREET|1|-1|0,2021,1,10,False,never_treated,,0.0,0.0,124.21779069802466,Manhattan
BRITTON AV|4|-1|0,2021,4,10,False,never_treated,,0.0,0.0,124.21779069802466,Queens
W 44 ST|1|-1|0,2020,1,12,False,never_treated,,3.0,0.0,124.0690486048337,Manhattan
CENTRE ST|1|2017|0,2019,1,2,True,switcher,2017,0.0,0.0,101.5233903134052,Manhattan
EMMONS AV|3|2022|0,2018,3,36,False,switcher,2022,1.0,0.0,101.59862163239713,Brooklyn
CARLTON AV|3|-1|0,2014,3,58,False,never_treated,,2.0,0.0,100.0,Brooklyn
32 AVE|4|-1|0,2024,4,43,False,never_treated,,1.0,0.0,144.45428478624402,Queens
SANFORD AV|4|-1|0,2023,4,26,False,never_treated,,2.0,0.0,129.02395686619366,Queens
BLEECKER ST|1|-1|0,2022,1,13,False,never_treated,,1.0,0.0,121.6630599958221,Manhattan
HANCOCK ST|3|-1|0,2022,3,8,False,never_treated,,2.0,0.0,121.6630599958221,Brooklyn
