corridor_id,street,boro_code,n_segments,treatment_cohort,first_protected_year,injuries,deaths,years,borough,inj_per_seg_year,is_protected,income,share_poc,poverty_rate,length_mi
MAIN ST|4|-1|2,MAIN ST,4,20,never_treated,,6.0,0.0,12,Queens,0.025,False,100772.13892255662,0.5600320998648318,0.0821451248013785,0.4694268771101831
RICHMOND TER|5|-1|0,RICHMOND TER,5,48,never_treated,,25.0,0.0,12,Staten Island,0.043402777777777776,False,68430.17820913714,0.7230118882615593,0.1804764543196248,2.0928593008686427
E 165 ST|2|-1|1,E 165 ST,2,21,never_treated,,46.0,0.0,12,Bronx,0.18253968253968253,False,38359.250823545735,0.961264484692396,0.3266592224619729,0.9907627644819972
BOND STREET|3|-1|0,BOND STREET,3,17,never_treated,,1.0,0.0,12,Brooklyn,0.004901960784313725,False,55621.931888475454,0.7787943027155597,0.2517576556038881,0.1962727707891002
COLUMBUS AV|1|2013|2,COLUMBUS AV,1,4,switcher,2013,4.0,0.0,12,Manhattan,0.08333333333333333,True,136518.37892193126,0.3642083996601292,0.0590149767977185,0.2050889321132312
GREEN STREET|3|-1|1,GREEN STREET,3,3,never_treated,,6.0,0.0,12,Brooklyn,0.16666666666666666,False,139422.25900999582,0.394181156664504,0.1127820695101336,0.3959924086882639
1 AV|1|-1|4,1 AV,1,7,never_treated,,29.0,0.0,12,Manhattan,0.34523809523809523,False,181836.3818809688,0.3076641865572025,0.0586266010069062,0.0760368294707844
VAN BRUNT ST|3|-1|0,VAN BRUNT ST,3,20,never_treated,,20.0,0.0,12,Brooklyn,0.08333333333333333,False,138210.0283109091,0.393319697497843,0.0955728232173783,0.881532626605731
4 AVENUE|3|-1|0,4 AVENUE,3,9,never_treated,,8.0,0.0,12,Brooklyn,0.07407407407407407,False,57520.95651912174,0.818981284065544,0.2549581479892905,0.0523632012073168
FOUNTAIN AV|3|2019|2,FOUNTAIN AV,3,11,switcher,2019,0.0,0.0,12,Brooklyn,0.0,True,17707.999999999996,1.0,0.5403533906399235,0.0726446899301968
5 AV|1|-1|0,5 AV,1,18,never_treated,,29.0,0.0,12,Manhattan,0.13425925925925927,False,51954.2825025856,0.9433068627710104,0.3024775507581773,0.5482596006706587
WEST BURNSIDE AVENUE|2|-1|1,WEST BURNSIDE AVENUE,2,4,never_treated,,17.0,0.0,12,Bronx,0.3541666666666667,False,34031.0668415846,0.9770580361636606,0.2948040719824072,0.224605788535973
3 AVENUE|1|2026|1,3 AVENUE,1,57,treated_after_window,2026,130.0,0.0,12,Manhattan,0.19005847953216373,False,35300.224573830106,0.8692209782107775,0.3168673837485677,1.7019335789327057
DEKALB AVE|3|-1|0,DEKALB AVE,3,3,never_treated,,17.0,0.0,12,Brooklyn,0.4722222222222222,False,125778.0,0.6235059760956175,0.1409915891987605,0.0720126203064265
W BROADWAY|1|2023|0,W BROADWAY,1,16,switcher,2023,5.0,0.0,12,Manhattan,0.026041666666666668,True,250001.00000000003,0.2878754269789276,0.0129290266743162,0.500056828777303
CADMAN PLZ W|3|-1|0,CADMAN PLZ W,3,4,never_treated,,0.0,0.0,12,Brooklyn,0.0,False,148542.0,0.3794520547945206,0.10586011342155,0.0396520338479659
QUEENS BLVD SR|4|-1|0,QUEENS BLVD SR,4,1,never_treated,,0.0,0.0,12,Queens,0.0,False,108007.0,0.5007173601147776,0.0407101865136298,0.0235157241447321
FOREST PARK DR W|4|-1|0,FOREST PARK DR W,4,14,never_treated,,6.0,0.0,12,Queens,0.03571428571428571,False,84291.0,0.3780634793089595,0.037037037037037,0.7244722231871936
BORINQUEN PL|3|-1|0,BORINQUEN PL,3,1,never_treated,,0.0,0.0,12,Brooklyn,0.0,False,126358.0,0.5195691202872532,0.1751534850126399,0.0273037308211432
MCGUINNESS BOULEVARD|3|-1|1,MCGUINNESS BOULEVARD,3,5,never_treated,,1.0,0.0,12,Brooklyn,0.016666666666666666,False,140424.7059370365,0.5159342612768268,0.2184527698294922,0.180927948875312
WILLIS AV BRIDGE|2|1920|0,WILLIS AV BRIDGE,2,12,always_treated,1920,1.0,0.0,12,Bronx,0.006944444444444444,True,61768.77707977262,0.8826819846108229,0.3118436134902427,0.2999257448840337
TROUTMAN ST|3|-1|0,TROUTMAN ST,3,11,never_treated,,15.0,0.0,12,Brooklyn,0.11363636363636363,False,88826.69236816207,0.6557634360695515,0.2264512229511227,1.0842536108146326
BERGEN ST|3|2015|0,BERGEN ST,3,1,switcher,2015,0.0,0.0,12,Brooklyn,0.0,True,148438.0,0.505890052356021,0.1092161364381764,0.0349103359854285
AV H|3|-1|1,AV H,3,9,never_treated,,12.0,0.0,12,Brooklyn,0.1111111111111111,False,78795.7537886511,0.4031879886335045,0.1920234338386594,0.4660848612951915
COLLEGE POINT BOULEVARD|4|-1|0,COLLEGE POINT BOULEVARD,4,10,never_treated,,0.0,0.0,12,Queens,0.0,False,,,,
VANDERBILT AV|3|2018|0,VANDERBILT AV,3,4,switcher,2018,0.0,0.0,12,Brooklyn,0.0,True,116842.0,0.5280821917808219,0.1083333333333333,0.0213206704524674
